0,0,0
1000,1655,-7
2000,1947,5
3000,635,160
4000,-1200,586
5000,-2047,1072
6000,-1208,1078
7000,626,343
8000,1944,-661
9000,1661,-1128
10000,10,-665
11000,-1650,345
12000,-1950,1071
13000,-645,915
14000,1192,5
15000,2047,-909
16000,1216,-1074
17000,-617,-355
18000,-1941,657
19000,-1667,1128
20000,-20,670
21000,1644,-340
22000,1953,-1069
23000,654,-918
24000,-1184,-11
25000,-2047,906
26000,-1224,1076
27000,607,360
28000,1938,-652
29000,1673,-1128
30000,29,-674
31000,-1638,335
32000,-1956,1068
33000,-663,921
34000,1176,16
35000,2047,-902
36000,1232,-1078
37000,-598,-365
38000,-1935,648
39000,-1678,1127
40000,-39,678
41000,1632,-329
42000,1959,-1066
43000,672,-924
44000,-1168,-22
45000,-2047,899
46000,-1239,1079
47000,589,370
48000,1932,-643
49000,1684,-1127
50000,49,-683
51000,-1626,324
52000,-1962,1064
53000,-682,928
54000,1160,27
55000,2046,-896
56000,1247,-1081
57000,-579,-375
58000,-1929,639
59000,-1689,1127
60000,-59,687
61000,1620,-319
62000,1965,-1062
63000,691,-931
64000,-1152,-32
65000,-2046,893
66000,-1255,1082
67000,570,381
68000,1925,-635
69000,1695,-1127
70000,68,-691
71000,-1614,314
72000,-1967,1061
73000,-700,934
74000,1144,38
75000,2046,-889
76000,1263,-1084
77000,-561,-386
78000,-1922,630
79000,-1700,1127
80000,-78,695
81000,1608,-309
82000,1970,-1059
83000,709,-937
84000,-1136,-43
85000,-2045,886
86000,-1270,1085
87000,551,391
88000,1919,-626
89000,1706,-1127
90000,88,-700
91000,-1602,304
92000,-1973,1057
93000,-718,940
94000,1128,48
95000,2045,-883
96000,1278,-1087
97000,-542,-396
98000,-1915,621
99000,-1711,1126
100000,-98,704
